000006.75-004654.0, 000.028139, -00.781661, 12.34, 19.17, 18.83, 18.87, 19.04, 19.39,    1.6, 263.8,  10772,  8.37,  ,  0.824, DA, Non-Magnetic
000007.16-094339.8, 000.029825, -09.727734,  7.46, 19.41, 19.58, 19.99, 20.27, 21.15,       ,      ,  29354,  7.55,  ,  0.477, DA, Non-Magnetic
000011.57-085008.4, 000.048197, -08.835659, 10.36, 19.46, 19.11, 19.06, 19.13, 19.34,  104.8,  88.5,  10112,  9.23,  ,       , DQ, Non-Magnetic
000012.32-005042.6, 000.051353, -00.845158,  4.56, 20.41, 20.04, 19.92, 20.02, 20.00,    5.5, 162.8,   7994,  8.33,  ,  0.794, DA, Non-Magnetic
000022.54-105142.2, 000.093897, -10.861716, 11.56, 19.29, 18.91, 18.82, 18.89, 18.95,   51.8, 117.2,   8598,  8.32,  ,  0.789, DA, Non-Magnetic
000022.88-000635.7, 000.095315, -00.109913, 18.64, 18.24, 18.21, 18.52, 18.88, 19.12,    6.4, 318.7,  22222,  7.39,  ,  0.415, DA, Non-Magnetic
000025.40+251726.4, 000.105847, +25.290666,  9.94, 20.20, 20.17, 20.52, 20.69, 21.04,   12.5, 172.3,  21114,  7.90,  ,  0.576, DA, Non-Magnetic
000033.14+292857.6, 000.138102, +29.482658, 22.15, 19.21, 18.97, 19.13, 19.33, 19.44,       ,      ,  30583,  8.29,  ,       , DA:DC:, Non-Magnetic
000034.06-052922.4, 000.141922, -05.489542, 45.23, 16.93, 16.77, 17.06, 17.30, 17.54,   88.7,  99.5,  19505,  7.79,  ,  0.522, DA, Non-Magnetic
000034.07-010820.0, 000.141964, -01.138881, 21.91, 18.26, 17.82, 18.03, 18.21, 18.44,   29.0, 119.6,  12666,  8.06,  ,  0.639, DA, Non-Magnetic
000051.85+272405.3, 000.216036, +27.401460, 24.32, 18.70, 18.65, 19.04, 19.26, 19.48,       ,      ,  21176,  7.92,  ,  0.585, DA, Non-Magnetic
000052.44-002610.5, 000.218509, -00.436249, 13.17, 19.15, 18.73, 18.67, 18.65, 18.80,   56.6, 182.9,  10088,  9.32,  ,       , DQ, Non-Magnetic
000055.12-042449.0, 000.229656, -04.413623, 10.36, 19.95, 19.94, 20.20, 20.38, 20.54,       ,      ,  14290,  8.39,  ,       , DBA:, Non-Magnetic
000100.42-042742.9, 000.251732, -04.461908, 27.57, 18.86, 18.48, 18.71, 18.94, 19.07,   12.9, 107.4,  16503,  7.57,  ,  0.447, DA, Non-Magnetic
000104.05+000355.8, 000.266894, +00.065506, 13.61, 19.25, 18.82, 19.05, 19.28, 19.47,   11.3, 160.4,  13274,  7.90,  ,  0.557, DA, Non-Magnetic
000106.22+250330.0, 000.275914, +25.058346, 16.96, 19.50, 19.52, 19.70, 19.94, 20.22,   17.3, 202.0,  15446,  8.28,  ,       , DBAZ, Non-Magnetic
000110.10+273520.4, 000.292066, +27.589004, 10.67, 20.31, 19.87, 20.06, 20.14, 20.46,       ,      ,  13006,  7.95,  ,  0.581, DA, Non-Magnetic
000115.77+285647.3, 000.315689, +28.946466, 12.84, 20.11, 19.76, 19.96, 20.14, 20.32,       ,      ,  13242,  8.07,  ,  0.646, DA, Non-Magnetic
000120.42-052140.9, 000.335103, -05.361357,  5.58, 20.96, 20.53, 20.33, 20.41, 20.42,   63.3, 167.5,   8109,  8.24,  ,  0.738, DA, Non-Magnetic
000122.51+235934.2, 000.343778, +23.992825,  7.67, 20.60, 20.43, 20.53, 20.58, 20.70,   20.1, 236.8,  12362,  7.66,  ,       , DB:, Non-Magnetic
000123.27-111156.0, 000.346961, -11.198876, 15.18, 19.08, 18.51, 18.30, 18.25, 18.27,  146.7, 141.8,   6312, 10.00,  ,       , DZ, Non-Magnetic
000126.85+272000.1, 000.361884, +27.333370, 28.17, 17.72, 17.41, 17.41, 17.59, 17.69,       ,      ,  10060,  8.25,  ,  0.747, DA, Non-Magnetic
000127.50+003759.3, 000.364573, +00.633149, 12.76, 19.04, 18.84, 19.13, 19.46, 19.72,    1.5,  64.5,  18006,  7.80,  ,  0.522, DA, Non-Magnetic
000135.06+244958.5, 000.396102, +24.832921,  7.98, 20.79, 20.41, 20.50, 20.61, 20.53,    6.7, 174.0,  12759,  8.26,  ,  0.758, DA, Non-Magnetic
000142.79+251504.1, 000.428300, +25.251134, 30.63, 19.16, 18.70, 19.01, 19.32, 19.65,       ,      ,  18039,  8.00,  ,  0.618, DA, Non-Magnetic
000159.97+275521.1, 000.499863, +27.922529, 14.69, 20.24, 19.50, 19.20, 19.09, 19.07,       ,      ,   6309,  7.83,  ,  0.501, DA, Non-Magnetic
000205.57+002041.8, 000.523208, +00.344954,  5.65, 19.95, 20.13, 20.40, 20.57, 20.94,   23.6, 180.8,  18912,  8.19,  ,  0.704, DB, Non-Magnetic
000208.73-050855.1, 000.536394, -05.148645, 14.60, 19.67, 19.43, 19.74, 19.99, 20.03,   28.1, 250.0,  17302,  7.83,  ,  0.534, DA, Non-Magnetic
000222.88-035418.9, 000.595319, -03.905245,  9.30, 20.62, 20.06, 20.14, 20.17, 20.11,   37.3, 115.8,   9533,  8.09,  ,  0.650, DA, Non-Magnetic
000223.06+272358.5, 000.596090, +27.399593, 23.42, 17.44, 17.64, 17.86, 18.11, 18.36,       ,      ,  16755,  7.96,  ,       , DB, Non-Magnetic
000223.06+272358.5, 000.596090, +27.399593, 48.54, 17.44, 17.64, 17.86, 18.11, 18.36,       ,      ,  17149,  8.16, a,  0.683, DB, Non-Magnetic
000228.16+235547.9, 000.617328, +23.929980, 27.64, 18.70, 18.67, 18.89, 19.08, 19.38,   14.5, 100.0,  26610,  7.87,  ,  0.575, DA, Non-Magnetic
000236.50+254143.3, 000.652082, +25.695361,  8.77, 20.39, 20.24, 20.53, 20.97, 20.68,    3.8, 202.7,  18502,  8.02,  ,  0.630, DA, Non-Magnetic
000241.09-052627.1, 000.671208, -05.440870, 17.73, 19.10, 19.14, 19.48, 19.80, 19.92,   26.0, 235.2,  23497,  7.74,  ,  0.511, DA, Non-Magnetic
000245.21-035355.4, 000.688381, -03.898721, 13.83, 20.21, 19.61, 19.34, 19.25, 19.21,   80.6,  93.3,   6305, 10.00,  ,       , DC, Non-Magnetic
000246.00-010831.9, 000.691655, -01.142207,  3.96, 20.06, 19.77, 20.02, 20.23, 20.42,   12.8, 176.3,  15551,  7.24,  ,  0.347, DA, Non-Magnetic
000250.65-045041.6, 000.711038, -04.844894, 11.37, 19.85, 19.73, 19.46, 18.57, 17.90,   14.0, 188.4,   6300, 10.00,  ,       , DBM, Non-Magnetic
000252.78+135332.1, 000.719916, +13.892250, 10.47, 18.95, 18.57, 18.55, 18.62, 18.63,   52.0,  40.3,   8592,  8.04,  ,  0.619, DA, Non-Magnetic
000253.81+161035.9, 000.724214, +16.176639, 11.35, 19.51, 18.97, 18.70, 18.62, 18.66,   85.1, 168.8,   6593,  7.65,  ,  0.434, DA, Non-Magnetic
000302.59+240555.8, 000.760780, +24.098831, 24.16, 19.21, 18.83, 19.00, 19.20, 19.35,   33.4, 138.8,  12740,  8.09,  ,  0.656, DA, Non-Magnetic
000308.33-094147.0, 000.784689, -09.696389, 12.99, 19.34, 18.87, 18.83, 18.90, 19.00,   43.0,  31.6,   8531,  8.19,  ,  0.708, DA, Non-Magnetic
000309.26-060233.5, 000.788585, -06.042632,  8.40, 20.58, 20.06, 19.96, 19.97, 19.93,   57.0, 102.7,   7570,  7.40,  ,       , DA:, Non-Magnetic
000309.46+272333.0, 000.789401, +27.392499, 10.29, 19.89, 19.99, 20.31, 20.64, 20.98,       ,      ,  26114,  7.70,  ,  0.502, DA, Non-Magnetic
000329.91+264848.9, 000.874619, +26.813594,  9.28, 20.19, 20.06, 20.34, 20.59, 20.66,       ,      ,  24242,  8.02,  ,  0.642, DA, Non-Magnetic
000331.08-051126.0, 000.879487, -05.190542, 16.32, 19.34, 19.24, 19.55, 19.85, 20.17,   23.7, 190.1,  20233,  7.99,  ,  0.618, DA, Non-Magnetic
000346.12+260324.3, 000.942166, +26.056742,  8.07, 20.56, 20.38, 20.64, 20.81, 21.07,   14.1, 112.2,  15824,  8.63,  ,  0.989, DA, Non-Magnetic
000356.93-050332.7, 000.987227, -05.059088, 30.48, 18.52, 18.20, 18.15, 17.50, 16.88,   13.6, 107.5,  17678,  7.23,  ,       , DAM, Non-Magnetic
000357.62-004939.0, 000.990099, -00.827513, 13.72, 18.92, 18.47, 18.52, 18.61, 18.80,   39.4, 125.0,   9651,  8.75, a,  1.043, DA, Non-Magnetic
000357.62-004939.0, 000.990099, -00.827513, 13.45, 18.92, 18.47, 18.52, 18.61, 18.80,   39.4, 125.0,   9564,  8.78,  ,       , DA, Non-Magnetic
000407.15+264939.7, 001.029792, +26.827696, 10.38, 19.89, 19.85, 20.05, 20.21, 20.50,       ,      ,  12130,  8.21,  ,       , DBA:, Non-Magnetic
000408.21+241231.3, 001.034223, +24.208682, 12.15, 20.30, 19.80, 19.82, 19.80, 20.08,   46.1, 219.4,   8636,  8.17,  ,  0.696, DA, Non-Magnetic
000410.42-034008.6, 001.043433, -03.669055, 47.22, 17.46, 16.93, 16.76, 16.72, 16.74,  227.4, 103.2,   6887,  7.71,  ,  0.459, DA, Non-Magnetic
000411.01-052641.3, 001.045875, -05.444807,  9.67, 20.30, 19.86, 20.14, 20.37, 20.58,       ,      ,  14074,  7.83,  ,  0.525, DA, Non-Magnetic
000417.88-034211.4, 001.074506, -03.703176, 12.80, 20.07, 19.54, 19.37, 19.35, 19.40,  121.9, 140.9,  10084,  9.26,  ,       , DC, Non-Magnetic
000421.63+282121.9, 001.090144, +28.356093, 29.09, 18.90, 18.61, 18.88, 19.11, 19.29,       ,      ,  16700,  7.93,  ,  0.580, DA, Non-Magnetic
000423.50+271927.8, 001.097910, +27.324390, 14.64, 19.83, 19.41, 19.66, 19.88, 20.08,       ,      ,  16237,  8.03,  ,  0.630, DA, Non-Magnetic
000423.83+290103.0, 001.099312, +29.017511, 20.90, 19.02, 19.00, 19.34, 19.63, 19.78,       ,      ,  21696,  7.97,  ,  0.611, DA, Non-Magnetic
000426.95+243258.9, 001.112289, +24.549692, 10.99, 19.95, 19.93, 20.04, 20.22, 20.29,    9.8,  96.1,  14229,  9.43,  ,       , DBZA:, Non-Magnetic
000428.99+005802.1, 001.120800, +00.967254, 11.76, 19.30, 18.96, 19.18, 19.43, 19.63,   40.5, 316.0,  15755,  7.82,  ,  0.525, DA, Non-Magnetic
000437.66-055731.3, 001.156925, -05.958703, 16.14, 19.63, 19.16, 19.38, 19.63, 19.79,   26.8, 137.0,  14784,  7.55,  ,  0.433, DA, Non-Magnetic
000439.38+253150.6, 001.164094, +25.530711,  8.98, 20.66, 20.39, 20.56, 20.73, 21.01,   45.6, 223.1,  11067,  7.64,  ,       , DZ, Non-Magnetic
000441.75+152841.1, 001.173976, +15.478096, 15.78, 18.95, 18.54, 18.53, 18.59, 18.68,    7.8, 162.3,   8598,  8.05,  ,  0.625, DA, Non-Magnetic
000442.80+265920.7, 001.178349, +26.989070,  6.75, 20.55, 20.43, 20.74, 20.93, 20.82,       ,      ,  22662,  7.55,  ,  0.461, DA, Non-Magnetic
000446.29-100051.2, 001.192856, -10.014220,  1.15, 22.31, 21.31, 20.83, 20.44, 19.15,       ,      ,   6307,  8.44,  ,       , DA:, Non-Magnetic
000447.06+240703.6, 001.196075, +24.117666,  9.76, 20.17, 20.06, 20.25, 20.41, 20.44,   21.4,  85.7,  15844,  8.06,  ,  0.620, DB, Non-Magnetic
000447.78+291140.9, 001.199074, +29.194708, 15.10, 20.31, 19.87, 20.23, 20.44, 20.15,       ,      ,  23431,  6.69,  ,       , DAM, Non-Magnetic
000453.94+265420.4, 001.224746, +26.905673, 11.95, 19.94, 19.60, 19.44, 18.85, 18.35,       ,      ,   7258,  5.03,  ,       , DAM, Non-Magnetic
000504.92+243409.7, 001.270495, +24.569356, 23.76, 19.51, 18.90, 18.49, 17.50, 16.77,   13.7, 192.0,   7597,  5.00,  ,       , DAM, Non-Magnetic
000505.85-040449.3, 001.274385, -04.080351, 34.00, 18.22, 18.13, 18.46, 18.74, 18.99,   26.7, 173.1,  22193,  7.92,  ,  0.588, DA, Non-Magnetic
000509.94+003809.6, 001.291402, +00.635999, 15.75, 17.76, 18.22, 18.67, 18.97, 19.18,   33.8,  44.5,  50000,  7.84,  ,       , DBAH:, Non-Magnetic
000522.02-093230.6, 001.341733, -09.541846,  3.44, 20.31, 20.27, 20.45, 20.88, 21.08,   23.6, 117.2,  19288,  7.99,  ,  0.616, DA, Non-Magnetic
000531.10-054343.2, 001.379578, -05.728679, 45.50, 17.28, 16.73, 16.60, 15.81, 15.10,       ,      ,  16417,  7.33,  ,       , DAM, Non-Magnetic
000546.41-093954.8, 001.443382, -09.665217,  9.47, 19.42, 18.96, 18.93, 19.01, 19.19,   73.4, 104.8,   9392,  7.94,  ,  0.567, DA, Non-Magnetic
000546.70+291539.0, 001.444593, +29.260824, 36.00, 18.72, 18.31, 18.55, 18.78, 19.05,       ,      ,  15371,  8.00,  ,  0.613, DA, Non-Magnetic
000546.75+273049.2, 001.444794, +27.513654, 25.49, 17.36, 17.30, 17.62, 17.88, 18.18,       ,      ,  19882,  8.26,  ,  0.768, DA, Non-Magnetic
000552.69+280947.4, 001.469558, +28.163164,  8.81, 20.54, 19.92, 19.70, 19.69, 19.58,       ,      ,   6882,  7.88,  ,  0.529, DA, Non-Magnetic
000555.91-100213.4, 001.482953, -10.037055, 24.95, 17.32, 17.71, 18.12, 18.48, 18.77,   85.0,  75.3,  79245,  9.56,  ,       , DQHOT, Non-Magnetic
000557.20+001833.3, 001.488321, +00.309243, 10.26, 19.08, 18.75, 18.71, 18.81, 18.89,       ,      ,  10120,  9.44,  ,       , DZ, Non-Magnetic
000557.20+001833.3, 001.488321, +00.309243, 12.08, 19.08, 18.75, 18.71, 18.81, 18.89,       ,      ,  10118,  9.36, a,       , DZ, Non-Magnetic
000557.20+001833.3, 001.488321, +00.309243,  5.44, 19.08, 18.75, 18.71, 18.81, 18.89,       ,      ,  10118,  9.17,  ,       , DZ, Non-Magnetic
000559.87-054416.1, 001.499476, -05.737800, 22.56, 18.56, 18.32, 17.76, 17.07, 16.62,    8.9, 136.0,   6300,  5.00,  ,       , DAM, Non-Magnetic
000608.57-044642.2, 001.535691, -04.778399, 14.12, 19.93, 19.48, 19.39, 19.41, 19.34,   59.1, 205.1,   7876,  7.54,  ,  0.397, DA, Non-Magnetic
000611.23-044455.6, 001.546797, -04.748774, 37.96, 18.12, 17.87, 18.18, 18.39, 18.68,   43.1, 223.3,  17184,  7.91,  ,  0.571, DA, Non-Magnetic
000614.03+284240.3, 001.558464, +28.711187, 10.60, 20.67, 20.22, 20.42, 20.58, 20.73,       ,      ,  15613,  7.89,  ,  0.558, DA, Non-Magnetic
000622.62+010958.8, 001.594238, +01.166325,  9.95, 18.36, 18.67, 19.15, 19.53, 19.63,    2.5, 108.9,  39070,  7.82,  ,  0.581, DA, Non-Magnetic
000626.69+242441.7, 001.611205, +24.411572, 26.83, 18.87, 18.65, 18.86, 19.08, 19.34,   25.7, 173.3,  18421,  7.91,  ,  0.574, DA, Non-Magnetic
000630.56+002324.2, 001.627328, +00.390048, 10.78, 18.73, 18.67, 18.93, 19.19, 19.32,   25.7, 231.7,  22096,  7.86,  ,  0.560, DA, Non-Magnetic
000635.36-050529.7, 001.647348, -05.091584, 21.69, 19.26, 18.76, 18.58, 18.54, 18.59,   73.7, 256.9,   6992,  7.98,  ,  0.582, DA, Non-Magnetic
